raw_texts,raw_aspect_terms,bert_tokens,aspect_masks,implicits,labels,source
but the staff was so horrible to us.,staff,"[101, 2021, 1996, 3095, 2001, 2061, 9202, 2000, 2149, 1012, 102]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",False,1,restaurants
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,"[101, 2000, 2022, 3294, 4189, 1010, 1996, 2069, 2417, 21564, 2075, 5387, 2001, 1996, 2833, 1010, 2029, 2001, 2682, 2779, 1010, 2021, 2481, 1005, 1056, 2191, 2039, 2005, 2035, 1996, 2060, 13366, 28227, 1997, 8915, 7716, 6525, 1012, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,0,restaurants
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,"[101, 1996, 2833, 2003, 27423, 11813, 1010, 2007, 1037, 2200, 5214, 3829, 2029, 2097, 18067, 11473, 2039, 3649, 2017, 2514, 2066, 5983, 1010, 3251, 2009, 1005, 1055, 2006, 1996, 12183, 2030, 2025, 1012, 102]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,0,restaurants
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,"[101, 1996, 2833, 2003, 27423, 11813, 1010, 2007, 1037, 2200, 5214, 3829, 2029, 2097, 18067, 11473, 2039, 3649, 2017, 2514, 2066, 5983, 1010, 3251, 2009, 1005, 1055, 2006, 1996, 12183, 2030, 2025, 1012, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,0,restaurants
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,"[101, 1996, 2833, 2003, 27423, 11813, 1010, 2007, 1037, 2200, 5214, 3829, 2029, 2097, 18067, 11473, 2039, 3649, 2017, 2514, 2066, 5983, 1010, 3251, 2009, 1005, 1055, 2006, 1996, 12183, 2030, 2025, 1012, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",True,2,restaurants
"not only was the food outstanding, but the little 'perks' were great.",food,"[101, 2025, 2069, 2001, 1996, 2833, 5151, 1010, 2021, 1996, 2210, 1005, 2566, 5705, 1005, 2020, 2307, 1012, 102]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,0,restaurants
"not only was the food outstanding, but the little 'perks' were great.",perks,"[101, 2025, 2069, 2001, 1996, 2833, 5151, 1010, 2021, 1996, 2210, 1005, 2566, 5705, 1005, 2020, 2307, 1012, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",False,0,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,"[101, 2256, 3530, 5440, 2003, 1996, 26914, 15937, 2666, 2618, 2007, 24165, 1998, 7975, 1006, 2788, 1996, 15610, 2015, 2024, 2785, 2438, 2000, 3975, 1996, 9841, 1999, 2431, 2061, 2017, 2131, 2000, 7099, 2119, 6240, 2015, 1007, 1012, 102]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,0,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,"[101, 2256, 3530, 5440, 2003, 1996, 26914, 15937, 2666, 2618, 2007, 24165, 1998, 7975, 1006, 2788, 1996, 15610, 2015, 2024, 2785, 2438, 2000, 3975, 1996, 9841, 1999, 2431, 2061, 2017, 2131, 2000, 7099, 2119, 6240, 2015, 1007, 1012, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,0,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,"[101, 2256, 3530, 5440, 2003, 1996, 26914, 15937, 2666, 2618, 2007, 24165, 1998, 7975, 1006, 2788, 1996, 15610, 2015, 2024, 2785, 2438, 2000, 3975, 1996, 9841, 1999, 2431, 2061, 2017, 2131, 2000, 7099, 2119, 6240, 2015, 1007, 1012, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,2,restaurants
