sentence,target,label,implicit,pred,reasoning
"certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile.",place,0,0,2,"user:     Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."",     which specific aspect of place is possibly mentioned?     Answer without explanation.
assistant: Cleanliness/sterility.
user:     Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", , and the mentioned aspect is about Cleanliness/sterility..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of place, and why?     Answer without explanation.
assistant: Positive. (Because ""very clean"" and ""sterile"" are positive adjectives.)
user:      Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", , and the mentioned aspect is about Cleanliness/sterility.., and the opinion towards the mentioned aspect of place is: Positive. (Because ""very clean"" and ""sterile"" are positive adjectives.).    Based on such opinion, what is the sentiment polarity towards place?     Answer without explanation.
assistant: Neutral to Slightly Positive.
user:      Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", , and the mentioned aspect is about Cleanliness/sterility.., and the opinion towards the mentioned aspect of place is: Positive. (Because ""very clean"" and ""sterile"" are positive adjectives.).    The sentiment polarity is Neutral to Slightly Positive..    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Neutral"
try the rose roll (not on menu).,menu,2,1,0,"user:     Given the sentence ""try the rose roll (not on menu)."",     which specific aspect of menu is possibly mentioned?     Answer without explanation.
assistant: Availability, price, or uniqueness.
user:     Given the sentence ""try the rose roll (not on menu)."", , and the mentioned aspect is about Availability, price, or uniqueness..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of menu, and why?     Answer without explanation.
assistant: Positive. The reason is that ""try"" implies a recommendation.
user:      Given the sentence ""try the rose roll (not on menu)."", , and the mentioned aspect is about Availability, price, or uniqueness.., and the opinion towards the mentioned aspect of menu is: Positive. The reason is that ""try"" implies a recommendation..    Based on such opinion, what is the sentiment polarity towards menu?     Answer without explanation.
assistant: Positive.
user:      Given the sentence ""try the rose roll (not on menu)."", , and the mentioned aspect is about Availability, price, or uniqueness.., and the opinion towards the mentioned aspect of menu is: Positive. The reason is that ""try"" implies a recommendation..    The sentiment polarity is Positive..    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Positive."
"while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",menu,0,0,2,"user:     Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."",     which specific aspect of menu is possibly mentioned?     Answer without explanation.
assistant: Quality of food/drink items (specifically, speed of service)
user:     Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Quality of food/drink items (specifically, speed of service).    Based on the common sense, what is the implicit opinion towards the mentioned aspect of menu, and why?     Answer without explanation.
assistant: Negative(because the person thinks it ""shouldn't"" take that long)
user:      Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Quality of food/drink items (specifically, speed of service)., and the opinion towards the mentioned aspect of menu is: Negative (because the person thinks it ""shouldn't"" take that long).    Based on such opinion, what is the sentiment polarity towards menu?     Answer without explanation.
assistant: Neutral/Mixed
user:      Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Quality of food/drink items (specifically, speed of service)., and the opinion towards the mentioned aspect of menu is: Negative (because the person thinks it ""shouldn't"" take that long).    The sentiment polarity is Neutral/Mixed.    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Neutral"
"while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",drinks,2,1,1,"user:     Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."",     which specific aspect of drinks is possibly mentioned?     Answer without explanation.
assistant: Preparation time.
user:     Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Preparation time..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of drinks, and why?     Answer without explanation.
assistant: The implicit opinion is negative. The reason is that ""it shouldn't"" is used in the sentence, implying that something unreasonable or unacceptable has occurred (i.e., it did take ten minutes).
user:      Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Preparation time.., and the opinion towards the mentioned aspect of drinks is: The implicit opinion is negative. The reason is that ""it shouldn't"" is used in the sentence, implying that something unreasonable or unacceptable has occurred (i.e., it did take ten minutes)..    Based on such opinion, what is the sentiment polarity towards drinks?     Answer without explanation.
assistant: Negative.
user:      Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Preparation time.., and the opinion towards the mentioned aspect of drinks is: The implicit opinion is negative. The reason is that ""it shouldn't"" is used in the sentence, implying that something unreasonable or unacceptable has occurred (i.e., it did take ten minutes)..    The sentiment polarity is Negative..    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: negative"
"while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",dessert pizza,2,1,1,"user:     Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."",     which specific aspect of dessert pizza is possibly mentioned?     Answer without explanation.
assistant: Waiting time.
user:     Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Waiting time..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of dessert pizza, and why?     Answer without explanation.
assistant: Negative; because the speaker finds it excessive.
user:      Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Waiting time.., and the opinion towards the mentioned aspect of dessert pizza is: Negative; because the speaker finds it excessive..    Based on such opinion, what is the sentiment polarity towards dessert pizza?     Answer without explanation.
assistant: Negative.
user:      Given the sentence ""while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."", , and the mentioned aspect is about Waiting time.., and the opinion towards the mentioned aspect of dessert pizza is: Negative; because the speaker finds it excessive..    The sentiment polarity is Negative..    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Negative."
the portions of the food that came out were mediocre.,portions of the food,2,0,1,"user:     Given the sentence ""the portions of the food that came out were mediocre."",     which specific aspect of portions of the food is possibly mentioned?     Answer without explanation.
assistant: Quantity.
user:     Given the sentence ""the portions of the food that came out were mediocre."", , and the mentioned aspect is about Quantity..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of portions of the food, and why?     Answer without explanation.
assistant: Negative.(The reason for this is that ""mediocre"" typically implies a neutral or slightly negative evaluation, suggesting that something is just average or unimpressive.)
user:      Given the sentence ""the portions of the food that came out were mediocre."", , and the mentioned aspect is about Quantity.., and the opinion towards the mentioned aspect of portions of the food is: Negative.  (The reason for this is that ""mediocre"" typically implies a neutral or slightly negative evaluation, suggesting that something is just average or unimpressive.).    Based on such opinion, what is the sentiment polarity towards portions of the food?     Answer without explanation.
assistant: Negative.(The sentiment polarity towards the entire topic, which is ""portions of the food"", matches the opinion towards its specific aspect, Quantity.)
user:      Given the sentence ""the portions of the food that came out were mediocre."", , and the mentioned aspect is about Quantity.., and the opinion towards the mentioned aspect of portions of the food is: Negative.  (The reason for this is that ""mediocre"" typically implies a neutral or slightly negative evaluation, suggesting that something is just average or unimpressive.).    The sentiment polarity is Negative.  (The sentiment polarity towards the entire topic, which is ""portions of the food"", matches the opinion towards its specific aspect, Quantity.).    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: negative"
"entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana.",Entrees,2,1,0,"user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."",     which specific aspect of Entrees is possibly mentioned?     Answer without explanation.
assistant: Types
user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about Types.    Based on the common sense, what is the implicit opinion towards the mentioned aspect of Entrees, and why?     Answer without explanation.
assistant: PositiveBecause they are called ""classics"", implying a high level of quality or popularity.
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about Types., and the opinion towards the mentioned aspect of Entrees is: Positive Because they are called ""classics"", implying a high level of quality or popularity..    Based on such opinion, what is the sentiment polarity towards Entrees?     Answer without explanation.
assistant: Positive
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about Types., and the opinion towards the mentioned aspect of Entrees is: Positive Because they are called ""classics"", implying a high level of quality or popularity..    The sentiment polarity is Positive.    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Positive"
"entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana.",lasagna,2,1,0,"user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."",     which specific aspect of lasagna is possibly mentioned?     Answer without explanation.
assistant: Taste/quality/likability.
user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about Taste/quality/likability..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of lasagna, and why?     Answer without explanation.
assistant: Positive. This is because the word ""classics"" implies a high regard or esteem for the dishes, including lasagna.
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about Taste/quality/likability.., and the opinion towards the mentioned aspect of lasagna is: Positive. This is because the word ""classics"" implies a high regard or esteem for the dishes, including lasagna..    Based on such opinion, what is the sentiment polarity towards lasagna?     Answer without explanation.
assistant: Positive Sentiment Polarity.
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about Taste/quality/likability.., and the opinion towards the mentioned aspect of lasagna is: Positive. This is because the word ""classics"" implies a high regard or esteem for the dishes, including lasagna..    The sentiment polarity is Positive Sentiment Polarity..    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Positive."
"entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana.",fettuccine Alfredo,2,1,0,"user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."",     which specific aspect of fettuccine Alfredo is possibly mentioned?     Answer without explanation.
assistant: The dish's name.
user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about The dish's name..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of fettuccine Alfredo, and why?     Answer without explanation.
assistant: Positive. (The fact that it's listed as a ""classic"" implies a positive association.)
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about The dish's name.., and the opinion towards the mentioned aspect of fettuccine Alfredo is: Positive. (The fact that it's listed as a ""classic"" implies a positive association.).    Based on such opinion, what is the sentiment polarity towards fettuccine Alfredo?     Answer without explanation.
assistant: Positive
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about The dish's name.., and the opinion towards the mentioned aspect of fettuccine Alfredo is: Positive. (The fact that it's listed as a ""classic"" implies a positive association.).    The sentiment polarity is Positive.    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Positive."
"entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana.",chicken parmigiana,2,1,0,"user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."",     which specific aspect of chicken parmigiana is possibly mentioned?     Answer without explanation.
assistant: The dish's name.
user:     Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about The dish's name..    Based on the common sense, what is the implicit opinion towards the mentioned aspect of chicken parmigiana, and why?     Answer without explanation.
assistant: Positive. (Why: ""classics"" implies a positive connotation.)
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about The dish's name.., and the opinion towards the mentioned aspect of chicken parmigiana is: Positive.   (Why: ""classics"" implies a positive connotation.).    Based on such opinion, what is the sentiment polarity towards chicken parmigiana?     Answer without explanation.
assistant: Positive
user:      Given the sentence ""entrees include classics like lasagna, fettuccine alfredo and chicken parmigiana."", , and the mentioned aspect is about The dish's name.., and the opinion towards the mentioned aspect of chicken parmigiana is: Positive.   (Why: ""classics"" implies a positive connotation.).    The sentiment polarity is Positive.    Based on these contexts, summarize and return one of the sentiment polarity word only:    [positive, neutral, negative.]
assistant: Positive"
