sentence,target,label,implicit,pred,reasoning
the bread is top notch as well.,bread,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""the bread is top notch as well."", \n    which specific aspect of bread is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Quality.', 'user: \n    Given the sentence ""the bread is top notch as well."", , and the mentioned aspect is about Quality..\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of bread, and why? \n    Answer without explanation.\n    ', 'assistant: Positive.\nBecause ""top-notch"" implies something is exceptional or superior.', 'user:  \n    Given the sentence ""the bread is top notch as well."", , and the mentioned aspect is about Quality.., and the opinion towards the mentioned aspect of bread is: Positive. Because ""top-notch"" implies something is exceptional or superior..\n    Based on such opinion, what is the sentiment polarity towards bread? \n    Answer without explanation.\n    ', 'assistant: Positive.', 'user:  \n    Given the sentence ""the bread is top notch as well."", , and the mentioned aspect is about Quality.., and the opinion towards the mentioned aspect of bread is: Positive. Because ""top-notch"" implies something is exceptional or superior..\n    The sentiment polarity is Positive..\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive.']"
i have to say they have one of the fastest delivery times in the city.,delivery times,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""i have to say they have one of the fastest delivery times in the city."", \n    which specific aspect of delivery times is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Speed', 'user: \n    Given the sentence ""i have to say they have one of the fastest delivery times in the city."", , and the mentioned aspect is about Speed.\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of delivery times, and why? \n    Answer without explanation.\n    ', 'assistant: Positive\nBecause mentioning ""one of the fastest"" indicates a compliment.', 'user:  \n    Given the sentence ""i have to say they have one of the fastest delivery times in the city."", , and the mentioned aspect is about Speed., and the opinion towards the mentioned aspect of delivery times is: Positive Because mentioning ""one of the fastest"" indicates a compliment..\n    Based on such opinion, what is the sentiment polarity towards delivery times? \n    Answer without explanation.\n    ', 'assistant: Positive', 'user:  \n    Given the sentence ""i have to say they have one of the fastest delivery times in the city."", , and the mentioned aspect is about Speed., and the opinion towards the mentioned aspect of delivery times is: Positive Because mentioning ""one of the fastest"" indicates a compliment..\n    The sentiment polarity is Positive.\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive']"
food is always fresh and hot- ready to eat!,Food,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""food is always fresh and hot- ready to eat!"", \n    which specific aspect of Food is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Freshness.', 'user: \n    Given the sentence ""food is always fresh and hot- ready to eat!"", , and the mentioned aspect is about Freshness..\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of Food, and why? \n    Answer without explanation.\n    ', 'assistant: Positive. \n\n(Why: The word ""always"" suggests consistency and the exclamation mark indicates excitement/enthusiasm.)', 'user:  \n    Given the sentence ""food is always fresh and hot- ready to eat!"", , and the mentioned aspect is about Freshness.., and the opinion towards the mentioned aspect of Food is: Positive.   (Why: The word ""always"" suggests consistency and the exclamation mark indicates excitement/enthusiasm.).\n    Based on such opinion, what is the sentiment polarity towards Food? \n    Answer without explanation.\n    ', 'assistant: Positive.', 'user:  \n    Given the sentence ""food is always fresh and hot- ready to eat!"", , and the mentioned aspect is about Freshness.., and the opinion towards the mentioned aspect of Food is: Positive.   (Why: The word ""always"" suggests consistency and the exclamation mark indicates excitement/enthusiasm.).\n    The sentiment polarity is Positive..\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive.']"
did i mention that the coffee is outstanding?,coffee,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""did i mention that the coffee is outstanding?"", \n    which specific aspect of coffee is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Quality/ taste.', 'user: \n    Given the sentence ""did i mention that the coffee is outstanding?"", , and the mentioned aspect is about Quality/ taste..\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of coffee, and why? \n    Answer without explanation.\n    ', 'assistant: Positive.\n\n(Why: because ""outstanding"" generally implies a high level of quality or excellence)', 'user:  \n    Given the sentence ""did i mention that the coffee is outstanding?"", , and the mentioned aspect is about Quality/ taste.., and the opinion towards the mentioned aspect of coffee is: Positive.  (Why: because ""outstanding"" generally implies a high level of quality or excellence).\n    Based on such opinion, what is the sentiment polarity towards coffee? \n    Answer without explanation.\n    ', 'assistant: Positive.', 'user:  \n    Given the sentence ""did i mention that the coffee is outstanding?"", , and the mentioned aspect is about Quality/ taste.., and the opinion towards the mentioned aspect of coffee is: Positive.  (Why: because ""outstanding"" generally implies a high level of quality or excellence).\n    The sentiment polarity is Positive..\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive']"
"certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile.",place,0,0,2,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", \n    which specific aspect of place is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Cleanliness/sterility.', 'user: \n    Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", , and the mentioned aspect is about Cleanliness/sterility..\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of place, and why? \n    Answer without explanation.\n    ', 'assistant: Positive. (Because ""very clean"" and ""sterile"" are positive adjectives.)', 'user:  \n    Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", , and the mentioned aspect is about Cleanliness/sterility.., and the opinion towards the mentioned aspect of place is: Positive. (Because ""very clean"" and ""sterile"" are positive adjectives.).\n    Based on such opinion, what is the sentiment polarity towards place? \n    Answer without explanation.\n    ', 'assistant: Neutral to Slightly Positive.', 'user:  \n    Given the sentence ""certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile."", , and the mentioned aspect is about Cleanliness/sterility.., and the opinion towards the mentioned aspect of place is: Positive. (Because ""very clean"" and ""sterile"" are positive adjectives.).\n    The sentiment polarity is Neutral to Slightly Positive..\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Neutral']"
"i trust the people at go sushi, it never disappoints.",people,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""i trust the people at go sushi, it never disappoints."", \n    which specific aspect of people is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Quality/Service', 'user: \n    Given the sentence ""i trust the people at go sushi, it never disappoints."", , and the mentioned aspect is about Quality/Service.\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of people, and why? \n    Answer without explanation.\n    ', 'assistant: Positive/High regard. The use of ""it never disappoints"" suggests that the service is consistently good.', 'user:  \n    Given the sentence ""i trust the people at go sushi, it never disappoints."", , and the mentioned aspect is about Quality/Service., and the opinion towards the mentioned aspect of people is: Positive/High regard. The use of ""it never disappoints"" suggests that the service is consistently good..\n    Based on such opinion, what is the sentiment polarity towards people? \n    Answer without explanation.\n    ', 'assistant: Positive', 'user:  \n    Given the sentence ""i trust the people at go sushi, it never disappoints."", , and the mentioned aspect is about Quality/Service., and the opinion towards the mentioned aspect of people is: Positive/High regard. The use of ""it never disappoints"" suggests that the service is consistently good..\n    The sentiment polarity is Positive.\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive']"
"straight-forward, no surprises, very decent japanese food.",Japanese food,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""straight-forward, no surprises, very decent japanese food."", \n    which specific aspect of Japanese food is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Quality/decentness.', 'user: \n    Given the sentence ""straight-forward, no surprises, very decent japanese food."", , and the mentioned aspect is about Quality/decentness..\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of Japanese food, and why? \n    Answer without explanation.\n    ', 'assistant: Positive. \n\nBecause the word ""decent"" implies a positive evaluation (good enough), indicating that the quality of the Japanese food is satisfactory or even good.', 'user:  \n    Given the sentence ""straight-forward, no surprises, very decent japanese food."", , and the mentioned aspect is about Quality/decentness.., and the opinion towards the mentioned aspect of Japanese food is: Positive.   Because the word ""decent"" implies a positive evaluation (good enough), indicating that the quality of the Japanese food is satisfactory or even good..\n    Based on such opinion, what is the sentiment polarity towards Japanese food? \n    Answer without explanation.\n    ', 'assistant: Positive. \n\nThe positive opinion about quality/decentness directly translates to a positive sentiment towards Japanese food overall.', 'user:  \n    Given the sentence ""straight-forward, no surprises, very decent japanese food."", , and the mentioned aspect is about Quality/decentness.., and the opinion towards the mentioned aspect of Japanese food is: Positive.   Because the word ""decent"" implies a positive evaluation (good enough), indicating that the quality of the Japanese food is satisfactory or even good..\n    The sentiment polarity is Positive.   The positive opinion about quality/decentness directly translates to a positive sentiment towards Japanese food overall..\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive']"
"best spicy tuna roll, great asian salad.",asian salad,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""best spicy tuna roll, great asian salad."", \n    which specific aspect of asian salad is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Dressing or taste.', 'user: \n    Given the sentence ""best spicy tuna roll, great asian salad."", , and the mentioned aspect is about Dressing or taste..\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of asian salad, and why? \n    Answer without explanation.\n    ', 'assistant: Positive. \n\n(This is because the sentence starts with ""great"", which typically implies a positive sentiment.)', 'user:  \n    Given the sentence ""best spicy tuna roll, great asian salad."", , and the mentioned aspect is about Dressing or taste.., and the opinion towards the mentioned aspect of asian salad is: Positive.   (This is because the sentence starts with ""great"", which typically implies a positive sentiment.).\n    Based on such opinion, what is the sentiment polarity towards asian salad? \n    Answer without explanation.\n    ', 'assistant: Positive.', 'user:  \n    Given the sentence ""best spicy tuna roll, great asian salad."", , and the mentioned aspect is about Dressing or taste.., and the opinion towards the mentioned aspect of asian salad is: Positive.   (This is because the sentence starts with ""great"", which typically implies a positive sentiment.).\n    The sentiment polarity is Positive..\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive.']"
"best spicy tuna roll, great asian salad.",spicy tuna roll,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""best spicy tuna roll, great asian salad."", \n    which specific aspect of spicy tuna roll is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Quality', 'user: \n    Given the sentence ""best spicy tuna roll, great asian salad."", , and the mentioned aspect is about Quality.\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of spicy tuna roll, and why? \n    Answer without explanation.\n    ', 'assistant: Positive\n (because it\'s called ""the best"")', 'user:  \n    Given the sentence ""best spicy tuna roll, great asian salad."", , and the mentioned aspect is about Quality., and the opinion towards the mentioned aspect of spicy tuna roll is: Positive  (because it\'s called ""the best"").\n    Based on such opinion, what is the sentiment polarity towards spicy tuna roll? \n    Answer without explanation.\n    ', 'assistant: Positive', 'user:  \n    Given the sentence ""best spicy tuna roll, great asian salad."", , and the mentioned aspect is about Quality., and the opinion towards the mentioned aspect of spicy tuna roll is: Positive  (because it\'s called ""the best"").\n    The sentiment polarity is Positive.\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive']"
try the rose roll (not on menu).,rose roll,0,0,0,"['system: You are an expert of sentiment and opinion analysis.', 'user: \n    Given the sentence ""try the rose roll (not on menu)."", \n    which specific aspect of rose roll is possibly mentioned? \n    Answer without explanation.\n    ', 'assistant: Availability/Availability on the menu', 'user: \n    Given the sentence ""try the rose roll (not on menu)."", , and the mentioned aspect is about Availability/Availability on the menu.\n    Based on the common sense, what is the implicit opinion towards the mentioned aspect of rose roll, and why? \n    Answer without explanation.\n    ', 'assistant: Positive/Promotional\nBecause the sentence is encouraging people to try it.', 'user:  \n    Given the sentence ""try the rose roll (not on menu)."", , and the mentioned aspect is about Availability/Availability on the menu., and the opinion towards the mentioned aspect of rose roll is: Positive/Promotional Because the sentence is encouraging people to try it..\n    Based on such opinion, what is the sentiment polarity towards rose roll? \n    Answer without explanation.\n    ', 'assistant: Positive', 'user:  \n    Given the sentence ""try the rose roll (not on menu)."", , and the mentioned aspect is about Availability/Availability on the menu., and the opinion towards the mentioned aspect of rose roll is: Positive/Promotional Because the sentence is encouraging people to try it..\n    The sentiment polarity is Positive.\n    Based on these contexts, summarize and return one of the sentiment polarity word only:\n    [positive, neutral, negative.]\n    ', 'assistant: Positive']"
